__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
540.667000,174378760.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.828121952,-5.359670870,-1.334920635,0.000000000,,,,,,,,,,,,,,,,
540.668000,,9.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.854326325,-5.239567279,-1.291298530,0.000000000,0.000000000,0.000000000,0.000000000,1.139508365,0.000000000,0.000000000
540.862000,,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.783404454,-5.542929210,-1.408896493,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.193584956,0.000000000,0.000000000
540.863000,273942329.000000000,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.806815577,-5.456360479,-1.371276070,0.000000000,,,,,,
541.004000,216734373.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.734081615,-5.716255012,-1.490263459,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.749422684,-5.664103414,-1.462258068,0.000000000,0.000000000,0.000000000,0.000000000,1.129041177,0.000000000,0.000000000
541.133000,182750607.000000000,8.000000000,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.151240539,0.000000000,0.000000000
541.134000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.723887294,-5.821681594,-1.539157176,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.721721246,-5.766225090,-1.513276657,0.000000000,,,,,,
541.268000,,9.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.718467526,-5.873798628,-1.562909487,0.000000000,,,,,,
541.269000,177847946.000000000,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.121903418,0.000000000,0.000000000
541.275000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.699710970,-5.972703261,-1.614533685,0.000000000,,,,,,,,,,,,,,,,
